filename	title	text	source_url	file_size
001_心声1.wav	心声1	嘘……你们怎么也在这里呀？啊，【玩家】，很抱歉，我是不是打扰到了你的休息？我只是路过想来看看你，没想到这些小家伙们也一起跟过来了……	https://web-static.kurobbs.com/wiki_audio/1739124183197643586.wav	2650362
002_心声2.wav	心声2	【玩家】和阿布是怎么认识的呢？抱歉……我并不是想要窥探你的过去，只是觉得……你们彼此形影不离，互相信任，互相关怀，真的很好，就像……家人一样。	https://web-static.kurobbs.com/wiki_audio/1739124184543909403.wav	2793560
003_心声3.wav	心声3	我明白，神职人员不应对声骸抱有「情感」，可它们是我重要的朋友，这一点永远不会改变。所以，我会在不舍弃这份牵绊的同时，认真履行作为教士的职责，这是岁主的考验，也是属于我的修习……其实，每次见到它们时我都想紧紧抱住它们……不行不行不行，一定要忍耐……	https://web-static.kurobbs.com/wiki_audio/1739124185782989809.wav	5095454
004_心声4.wav	心声4	【玩家】似乎每天都在做很多事情，但是很少见到你休息……难道是，睡不着吗？如果是这样的话，请让我来帮你吧，只要用这个手杖轻轻一点，你的精神就可以放松下来……诶？为什么要后退呀，一点也不疼啊……	https://web-static.kurobbs.com/wiki_audio/1739124185055555717.wav	3353268
005_心声5.wav	心声5	气球飞上晴空，声骸与人们共舞，彩虹倒映在每个欢笑的人眼中……看到桂冠落在你的头上时，我真的非常非常开心，这次狂欢节对我来说……是难以忘怀的，最为炫目的光景。	https://web-static.kurobbs.com/wiki_audio/1739124184751142747.wav	2972060
006_菲比的喜好.wav	菲比的喜好	小的时候，我最喜欢去拂风水畔找我的朋友们，我们会一起躺在长满花的山坡上看云，听蒂蒂尔演奏好听的风琴曲，拉比贝尼编出各种样式的花环，让奔跑起来的风也带上月桂的味道……现在吗？现在……我会偷偷去。	https://web-static.kurobbs.com/wiki_audio/1739124079746530724.wav	3590434
007_菲比的烦恼.wav	菲比的烦恼	我看到了……光辉下埋藏着的阴影。若曾经深信不疑的，其实并非正确的道路，那么……不，没什么，请不要在意……	https://web-static.kurobbs.com/wiki_audio/1739124077968192395.wav	2277954
008_喜欢的食物.wav	喜欢的食物	好香……是玛格烈特小姐和焙焙烤的披萨的味道……不行不行，这个月的披萨日已经过去了……嗯？你问什么是披萨日？其实是以前在孤儿院时，每个月里能吃到披萨的那一天，虽然现在已经不会再饿肚子，但作为教士仍应节制自我，不可沉迷口腹之欲，而且……在那天和大家一起分着吃的披萨，才是最好吃的呀。	https://web-static.kurobbs.com/wiki_audio/1739124080770101716.wav	4822308
009_讨厌的食物.wav	讨厌的食物	岁主赐予我们丰饶的土地，每一顿餐食都来之不易，祂亦言“身体乃是精神的宫殿”，我们应多食用对其有益之物，尤其是青枝果这样神圣的果实……对了，你要吃吗？这是从修会领受的圣餐，圣典曾言，分享之美德会令甜美加倍…… 呜……还是好酸……	https://web-static.kurobbs.com/wiki_audio/1739124080852669467.wav	5017098
010_抱负和理想.wav	抱负和理想	孩子和父母团聚，远航的水手平安回到家乡，渴望自由的人能够像海鸥一样去往任何地方……大家即使怀抱着不同的信仰，仍然能够站在一起，悲鸣也不会致人分离……诶？关于我自己吗？我自己……我……	https://web-static.kurobbs.com/wiki_audio/1739124079496171524.wav	4055254
