file	language	text	reviewed	notes
roxy_seg_0001_0004390-0013986.wav	ja		false	
roxy_seg_0002_0013986-0023552.wav	ja		false	
roxy_seg_0003_0023552-0033118.wav	ja		false	
roxy_seg_0004_0033118-0042684.wav	ja		false	
roxy_seg_0005_0042684-0052250.wav	ja		false	
roxy_seg_0006_0052250-0061816.wav	ja		false	
roxy_seg_0007_0061816-0071382.wav	ja		false	
roxy_seg_0008_0071382-0080948.wav	ja		false	
roxy_seg_0009_0080948-0090514.wav	ja		false	
roxy_seg_0010_0090514-0100080.wav	ja		false	
roxy_seg_0011_0100080-0109646.wav	ja		false	
roxy_seg_0012_0109646-0119212.wav	ja		false	
roxy_seg_0013_0119212-0128778.wav	ja		false	
roxy_seg_0014_0128778-0138344.wav	ja		false	
roxy_seg_0015_0138344-0147910.wav	ja		false	
roxy_seg_0016_0147910-0157476.wav	ja		false	
roxy_seg_0017_0157476-0167042.wav	ja		false	
roxy_seg_0018_0167042-0176608.wav	ja		false	
roxy_seg_0019_0176608-0186200.wav	ja		false	
roxy_seg_0020_0188460-0197127.wav	ja		false	
roxy_seg_0021_0197127-0205764.wav	ja		false	
roxy_seg_0022_0205764-0214401.wav	ja		false	
roxy_seg_0023_0214401-0223038.wav	ja		false	
roxy_seg_0024_0223038-0231675.wav	ja		false	
roxy_seg_0025_0231675-0240340.wav	ja		false	
roxy_seg_0026_0242880-0251057.wav	ja		false	
roxy_seg_0027_0251057-0259204.wav	ja		false	
roxy_seg_0028_0259204-0267380.wav	ja		false	
roxy_seg_0029_0278960-0288515.wav	ja		false	
roxy_seg_0030_0288515-0298040.wav	ja		false	
roxy_seg_0031_0298040-0307565.wav	ja		false	
roxy_seg_0032_0307565-0317090.wav	ja		false	
roxy_seg_0033_0317090-0326615.wav	ja		false	
roxy_seg_0034_0326615-0336170.wav	ja		false	
roxy_seg_0035_0371940-0380770.wav	ja		false	
roxy_seg_0036_0482980-0492905.wav	ja		false	
roxy_seg_0037_0492905-0502830.wav	ja		false	
roxy_seg_0038_0502850-0512634.wav	ja		false	
roxy_seg_0039_0512634-0522388.wav	ja		false	
roxy_seg_0040_0522388-0532170.wav	ja		false	
roxy_seg_0041_0534620-0542668.wav	ja		false	
roxy_seg_0042_0542668-0550686.wav	ja		false	
roxy_seg_0043_0550686-0558704.wav	ja		false	
roxy_seg_0044_0558704-0566722.wav	ja		false	
roxy_seg_0045_0566722-0574770.wav	ja		false	
roxy_seg_0046_0601560-0610715.wav	ja		false	
roxy_seg_0047_0610715-0619870.wav	ja		false	
roxy_seg_0048_0626590-0635507.wav	ja		false	
roxy_seg_0049_0635507-0644394.wav	ja		false	
roxy_seg_0050_0644394-0653310.wav	ja		false	
roxy_seg_0051_0660300-0669254.wav	ja		false	
roxy_seg_0052_0669254-0678178.wav	ja		false	
roxy_seg_0053_0678178-0687130.wav	ja		false	
roxy_seg_0054_0687310-0696090.wav	ja		false	
roxy_seg_0055_0696090-0704840.wav	ja		false	
roxy_seg_0056_0704840-0713620.wav	ja		false	
roxy_seg_0057_0716190-0725772.wav	ja		false	
roxy_seg_0058_0725772-0735324.wav	ja		false	
roxy_seg_0059_0735324-0744876.wav	ja		false	
roxy_seg_0060_0744876-0754428.wav	ja		false	
roxy_seg_0061_0754428-0763980.wav	ja		false	
roxy_seg_0062_0763980-0773532.wav	ja		false	
roxy_seg_0063_0773532-0783084.wav	ja		false	
roxy_seg_0064_0783084-0792636.wav	ja		false	
roxy_seg_0065_0792636-0802188.wav	ja		false	
roxy_seg_0066_0802188-0811770.wav	ja		false	
